,¿¬µµ,¿ù,¼øÀ§,ÆÀ¸í,°æ±â,QS,¿ÏÅõ,¿ÏºÀ,»ïÁø/9,º¼³Ý/9,È¨·±/9,»ï/º¼,ÇÇ¾ÈÅ¸À²,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,WHIP,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
114,2016,7,5,»ï¼º,18,7,0,0,6.04,3.48,1.31,1.73,0.281,0.353,0.443,0.796,1.46,0.303,69.4,4.90,2.88,5.71,5.81,0.81
115,2016,7,6,·Ôµ¥,20,7,0,0,6.23,4.71,1.37,1.32,0.302,0.389,0.479,0.869,1.72,0.331,65.2,6.08,1.39,6.09,6.21,0.10
116,2016,7,7,µÎ»ê,21,10,0,0,5.01,3.99,1.11,1.25,0.281,0.359,0.443,0.802,1.51,0.296,64.4,5.78,3.26,5.79,6.03,1.31
117,2016,7,8,SK,22,7,0,0,6.45,4.62,1.19,1.40,0.299,0.381,0.468,0.848,1.71,0.332,64.8,5.86,1.92,5.72,5.81,1.53
118,2016,7,9,KT,20,2,0,0,6.88,5.17,1.09,1.33,0.324,0.414,0.489,0.903,1.87,0.371,60.7,7.14,0.81,5.76,5.84,0.88
119,2016,7,10,LG,22,8,0,0,6.03,3.99,1.25,1.51,0.296,0.378,0.467,0.845,1.62,0.323,63.7,6.26,1.43,5.85,6.00,1.13
120,2016,8,1,µÎ»ê,24,12,0,0,6.64,3.40,1.20,1.95,0.284,0.354,0.442,0.796,1.48,0.319,75.0,4.40,5.66,5.34,5.35,1.59
121,2016,8,2,LG,26,10,0,0,6.97,3.55,0.70,1.97,0.290,0.364,0.410,0.774,1.54,0.338,64.5,5.14,5.15,4.64,4.63,4.04
122,2016,8,3,Hero,23,6,0,0,6.60,2.95,1.10,2.24,0.277,0.341,0.416,0.757,1.41,0.310,71.4,4.53,5.26,5.12,5.12,2.70
123,2016,8,4,NC,23,5,0,0,7.02,3.98,0.76,1.76,0.267,0.346,0.379,0.725,1.49,0.309,68.4,4.69,5.16,4.83,4.82,2.58
124,2016,8,5,»ï¼º,23,7,1,0,6.00,3.40,1.25,1.76,0.300,0.367,0.465,0.833,1.59,0.329,64.9,5.82,2.53,5.60,5.69,1.06
125,2016,8,6,KIA,24,5,0,0,7.65,4.31,0.80,1.77,0.307,0.384,0.437,0.821,1.71,0.366,63.3,5.96,1.97,4.80,4.72,2.92
