,연도,선수이름,팀명,평균자책점,경기,승,패,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당 출루허용률
254,2016,오주원,넥센,4.41,55,3,2,2,7,0.600,51,50,3,17,4,40,25,25,1.31
255,2016,이보근,넥센,4.45,67,5,7,0,25,0.417,64 2/3,69,3,27,6,56,36,32,1.48
256,2016,박종윤,넥센,4.50,1,0,0,0,0,-,2,5,0,2,0,0,1,1,3.50
257,2016,김상수,넥센,4.62,67,6,5,0,21,0.545,74,77,6,34,1,76,40,38,1.50
258,2016,금민철,넥센,5.13,14,1,1,0,0,0.500,26 1/3,36,2,9,1,16,16,15,1.71
259,2016,맥그레거,넥센,5.20,14,6,3,0,0,0.667,90,108,13,20,2,61,56,52,1.42
260,2016,김정훈,넥센,5.26,34,1,5,0,0,0.167,63 1/3,71,9,29,6,28,44,37,1.58
261,2016,박주현,넥센,6.35,30,7,5,0,0,0.583,119,153,19,37,8,71,89,84,1.60
262,2016,정회찬,넥센,6.52,11,0,0,0,0,-,9 2/3,8,0,9,2,2,7,7,1.76
263,2016,이정훈,넥센,7.00,15,0,3,0,1,0.000,18,32,3,5,0,8,14,14,2.06
264,2016,최원태,넥센,7.23,17,2,3,0,0,0.400,61,89,6,23,6,42,51,49,1.84
265,2016,김택형,넥센,7.62,32,2,2,0,7,0.500,28 1/3,41,6,11,0,35,26,24,1.84
266,2016,양훈,넥센,8.28,20,1,6,0,0,0.143,70 2/3,119,10,27,1,24,71,65,2.07
267,2016,강윤구,넥센,18.00,1,0,0,0,0,-,1,1,1,1,0,0,2,2,2.00
268,2016,박정준,넥센,19.29,7,0,0,0,0,-,4 2/3,8,0,6,1,3,10,10,3.00
269,2016,이용찬,두산,2.70,5,1,0,0,2,1.000,6 2/3,7,0,0,0,5,2,2,1.05
270,2016,니퍼트,두산,2.95,28,22,3,0,0,0.880,167 2/3,151,15,57,9,142,61,55,1.24
271,2016,정재훈,두산,3.27,46,1,5,2,23,0.167,52 1/3,43,3,17,5,56,21,19,1.15
272,2016,장원준,두산,3.32,27,15,6,0,0,0.714,168,161,14,76,9,137,66,62,1.41
273,2016,보우덴,두산,3.80,30,18,7,0,0,0.720,180,159,17,54,6,160,83,76,1.18
274,2016,윤명준,두산,3.95,55,4,0,2,11,1.000,57,51,5,17,3,39,25,25,1.19
275,2016,유희관,두산,4.41,30,15,6,0,0,0.714,185 2/3,212,22,58,6,102,95,91,1.45
276,2016,이현승,두산,4.84,56,1,4,25,1,0.200,57 2/3,65,8,17,7,41,36,31,1.42
277,2016,진야곱,두산,4.94,55,5,2,1,4,0.714,62,68,8,40,1,56,38,34,1.74
278,2016,김강률,두산,5.14,25,0,2,0,4,0.000,28,31,2,17,2,21,18,16,1.71
279,2016,홍상삼,두산,5.25,11,0,1,5,1,0.000,12,12,0,9,0,17,7,7,1.75
280,2016,박성민,두산,5.40,4,0,0,0,0,-,3 1/3,5,1,2,0,3,2,2,2.10
281,2016,이용호,두산,5.40,1,0,0,0,0,-,1 2/3,3,0,1,0,0,1,1,2.40
282,2016,고원준,두산,5.47,14,1,1,0,1,0.500,24 2/3,31,2,11,5,21,15,15,1.70
283,2016,허준혁,두산,5.64,28,4,7,0,0,0.364,89 1/3,106,17,39,7,56,61,56,1.62
284,2016,김성배,두산,6.03,39,0,1,1,5,0.000,37 1/3,59,5,19,2,27,26,25,2.09
285,2016,오현택,두산,6.10,20,1,0,0,4,1.000,20 2/3,29,3,3,2,17,14,14,1.55
286,2016,고봉재,두산,6.17,25,3,0,0,0,1.000,23 1/3,32,1,2,3,18,17,16,1.46
287,2016,함덕주,두산,6.23,15,0,0,0,0,-,8 2/3,10,0,11,0,7,6,6,2.42
288,2016,안규영,두산,6.61,16,1,2,0,0,0.333,47 2/3,73,6,24,4,24,36,35,2.03
289,2016,이현호,두산,7.09,41,0,2,0,0,0.000,47,63,5,20,5,32,37,37,1.77
290,2016,홍영현,두산,7.11,6,1,0,0,0,1.000,6 1/3,9,1,6,0,6,6,5,2.37
291,2016,강동연,두산,8.22,11,0,0,0,0,-,7 2/3,9,2,6,0,6,8,7,1.96
292,2016,조승수,두산,10.80,7,0,0,0,0,-,8 1/3,13,2,4,4,2,10,10,2.04
293,2016,이정민,롯데,3.16,67,5,2,2,9,0.714,77,83,6,21,5,60,29,27,1.35
294,2016,배장호,롯데,3.80,19,0,0,0,1,-,23 2/3,26,1,10,4,11,10,10,1.52
295,2016,손승락,롯데,4.26,48,7,3,20,0,0.700,50 2/3,61,5,24,3,48,25,24,1.68
296,2016,레일리,롯데,4.34,31,8,10,0,0,0.444,184 2/3,207,21,51,17,147,105,89,1.40
297,2016,홍성민,롯데,4.46,52,1,1,2,5,0.500,42 1/3,45,5,16,1,30,24,21,1.44
298,2016,정대현,롯데,5.19,24,1,0,0,8,1.000,17 1/3,24,3,13,0,7,10,10,2.13
299,2016,린드블럼,롯데,5.28,30,10,13,0,0,0.435,177 1/3,197,28,77,9,148,109,104,1.55
300,2016,강영식,롯데,5.40,24,0,2,0,5,0.000,11 2/3,13,2,9,0,11,8,7,1.89
301,2016,박시영,롯데,5.40,42,2,3,0,1,0.400,61 2/3,64,6,29,2,57,38,37,1.51
